Country_ISO3,Country,Development_Status,Current_tariff_total,Current_tariff_manufacturing,Current_tariff_agriculture,Current_tariff_fuels_mining,Current_tariff_other,Pre2025_tariff_total,Pre2025_tariff_manufacturing,Pre2025_tariff_agriculture,Pre2025_tariff_fuels_mining,Pre2025_tariff_other,Imports_total,Imports_manufacturing,Imports_agriculture,Imports_fuels_mining,Imports_other,Notes
HND,Honduras,Developing,12.046,14.948,5.427,10.099,0,.48199999,.236,.89099997,1.525,0,5798639301,3874779242,1530057142,329914395,39484987,
HTI,Haiti,Least developed,10.103,10.199,8.3450003,2.8529999,0,.23199999,.23800001,.048,0,0,640512554,623092241,11906288,1132547,2984813,
IDN,Indonesia,Developing,24.333,27.563999,14.015,21.683001,0,5.921,7.5929999,.43399999,4.4089999,0,29516502652,22434684829,6602042448,245353628,152702696,
IND,India,Developing,34.296001,33.624001,42.473999,36.556,.198,3.276,3.984,1.085,.54900002,0,91154526480,71103184378,6262162053,12328638862,916852034,
IRN,Iran (Islamic Republic of),Developing,9.4189997,9.283,10,,,.001,.001,0,,,6274701,5081698,1193003,0,0,
IRQ,Iraq,Developing,.19400001,34.669998,36.379002,.109,0,.11,.29499999,4.8899999,.109,0,7817113065,17320816,1994367,7770850688,25952699,
ISL,Iceland,Developed,11.116,8.4320002,15.244,15.454,0,.244,.18700001,.33399999,.115,0,1114049182,644326958,445388123,5745254,12119361,
ISR,Israel,Developed,10.341,9.8549995,10.616,14.056,.003,.442,.59600002,.001,.014,0,22510933891,16433541198,548469121,4488108362,853772099,
JAM,Jamaica,Developing,5.7919998,10.878,7.9299998,1.12,0,.35299999,.248,.58499998,0,0,377930156,33907617,212122967,109399498,19828183,
JOR,Jordan,Developing,14.685,15.028,9.5930004,48.375,0,.039000001,.028000001,.28,9.5480003,0,3434154441,3309902253,51585770,2885327,65969887,
JPN,Japan,Developed,17.412001,17.82,13.193,14.092,0,1.802,1.796,2.277,4.2420001,0,152226555736,144058309062,1950684073,1867509887,2547019794,
KAZ,Kazakhstan,Developing,2.2490001,4.5479999,25.09,.972,0,.84899998,1.147,.1,.72500002,0,2431985271,777491399,14459727,1613768075,25316744,
KEN,Kenya,Developing,26.237,33.27,3.47,.90200001,0,.142,.176,.034000002,0,0,758664946,579764103,124465778,19219954,28831082,
KGZ,Kyrgyzstan,Developing,21.129,22.608999,9.3859997,,0,3.487,3.5799999,3.079,,0,17082381,15130739,1494696,0,229044,
KHM,Cambodia,Least developed,30.191,30.516001,17.278,19.006001,0,9.8780003,10.097,.17,.0060000001,0,13348109148,13015086475,219316444,42232942,30657222,
KIR,Kiribati,Least developed,11.106,20.052,10,,0,.278,1.999,0,,0,958008,127689,764339,0,26742,
KNA,Saint Kitts and Nevis,Developing,16.118,21.277,10,7.3930001,.022,.35600001,.491,0,0,0,20307865,14253337,1227374,140933,4025392,
KOR,"Korea, Republic of",Developed,21.532,22.683001,11.936,10.146,.0089999996,.588,.57499999,.003,1.119,0,135466328887,123320090660,2495994806,7565503509,1479365697,
KWT,Kuwait,Developing,.25600001,12.96,19.516001,.183,0,.11,1.402,9.7700005,.097000003,0,1774124337,8432113,1574028,1719762678,43654261,
LAO,Lao People's Dem. Rep.,Least developed,37.93,39.075001,16.875999,4.2859998,0,1.779,1.811,1.9960001,.77999997,0,849234163,816610963,1752980,26360087,292883,
LBN,Lebanon,Developing,11.874,11.632,13.232,7.8010001,0,3.8610001,3.5780001,4.8860002,.33899999,0,267286979,189181433,70888796,1328036,3794982,
LBR,Liberia,Least developed,1.281,16.113001,.152,9.1859999,0,.0040000002,.32600001,0,0,0,73729639,862333,63901304,7699327,1196292,
LBY,Libya,Developing,.14300001,27.253,30,.12,0,.12,.032000002,0,.12,0,1491922591,1299369,5093,1490315795,271979,
LCA,Saint Lucia,Developing,6.3959999,16.628,9.6210003,4.3070002,0,.271,1.6720001,.287,0,0,7281344,699576,2508859,2044872,1716690,
LKA,Sri Lanka,Developing,30.315001,33.997002,7.8920002,20.393,0,10.795,12.997,.99599999,.18000001,0,3157405914,2584486838,301455390,247827857,9897677,
LSO,Lesotho,Least developed,31.667999,40.719002,15,15,0,0,0,0,0,0,242399493,157307429,838769,83221224,720052,
MAC,"China, Macao SAR",Developing,14.676,20.676001,4.9070001,10,0,7.6799998,10.883,.40000001,0,0,111807521,78502681,2128083,62842,30657890,
MAR,Morocco,Developing,10.915,12.057,9.066,.833,0,.67500001,.91000003,.02,0,0,1981401877,1417573593,425771887,54099631,26221645,
MDA,"Moldova, Republic of",Developed,29.653999,31.363001,28.59,25,0,4.9429998,6.5430002,3.881,0,0,141786009,56855524,82559096,430993,246547,
MDG,Madagascar,Least developed,20.802,36.087002,1.8660001,4.164,0,.029999999,.055,0,0,0,751732091,399857228,124752518,219416525,4746587,
MDV,Maldives,Developing,9.9729996,22.254999,10.877,,0,.84399998,2.645,.87699997,,0,6362152,296105,5136315,0,830501,
MEX,Mexico,Developing,14.125,16.26,3.9200001,4.2740002,.0070000002,.07,0,.70200002,0,0,509658951731,421366366896,50531522092,25672763336,9279118490,
MHL,Marshall Islands,Developing,10.005,17.377001,10,0,6.4159999,.093999997,2.01,0,0,0,23181087,1085879,19937998,24393,2132817,
MKD,North Macedonia,Developed,18.261999,18.750999,16.521999,15,0,2.628,2.7030001,2.368,0,0,179050508,138600104,36427524,146071,211464,
MLI,Mali,Least developed,11.137,18.114,8.5550003,,0,1.05,2.8640001,.086000003,,0,5651499,1933214,3102759,0,491748,
MMR,Myanmar,Least developed,49.398998,50.66,38.936001,33.605,0,10.132,11.182,.285,.0060000001,0,679079464,613848724,50611924,13926532,496891,
MNE,Montenegro,Developed,11.28,14.433,10.167,,0,.78500003,1.301,.167,,0,15743061,8723802,4797407,0,1965641,
MNG,Mongolia,Developing,8.8310003,23.885,2.7579999,.52700001,.043000001,2.026,6.1630001,.242,.45100001,0,27868844,8408435,15362765,853304,2981859,
MOZ,Mozambique,Least developed,12.771,26.322001,24.613001,10.449,0,1.267,3.28,8.0909996,.0040000002,0,220218852,4137126,32678196,181395616,1705749,
MRT,Mauritania,Least developed,11.782,12.878,10,,0,.98199999,1.479,0,,0,2920662,1873083,913524,0,36242,
MUS,Mauritius,Developing,18.235001,26.993999,14.783,14.94,0,.022,.034000002,.018999999,0,0,244714140,72368807,145996263,21511329,3231904,
MWI,Malawi,Least developed,11.84,17.983999,11.786,15,0,.003,.324,0,0,0,41681940,380270,41230464,6005,12512,
MYS,Malaysia,Developing,12.769,12.883,13.233,35.995998,0,1.051,1.029,1.86,4.401,0,53797702201,50135641665,1391506205,335644867,1108787052,
NAM,Namibia,Developing,10.698,18.277,14.73,10.042,0,.0089999996,.121,0,0,0,278905197,20221314,7118781,249381128,1714970,
NER,Niger,Least developed,9.3559999,18.326,10,2.4760001,0,.866,1.92,0,0,0,8220196,3642425,854801,93231,3482739,
NGA,Nigeria,Developing,.74699998,4.059,10.372,.39399999,0,.0040000002,.013,.15899999,0,0,5914631829,193435396,138697631,5557399350,20373162,
NIC,Nicaragua,Developing,14.728,19.801001,10.733,.027000001,0,.24699999,.003,.85100001,0,0,4763765163,2792381888,1370975123,583981948,7169600,
NIU,Niue,Developing,8.3219995,10.184,,10,.55000001,.115,.142,,0,0,4402830,3491951,0,2140,836980,
NOR,Norway,Developed,10.381,16.388,15.005,1.71,.001,.963,1.891,.229,.583,0,6897123233,2645121929,1624119300,2137142510,469011182,
NPL,Nepal,Least developed,11.747,12.253,10.06,,0,1.883,2.2609999,.50800002,,0,128507628,99055152,26621103,0,444552,
NRU,Nauru,Developing,28.67,28.67,,,,2.415,2.415,,,,2323003,2285202,0,0,0,
NZL,New Zealand,Developed,13.336,21.662001,10.673,13.082,.012,1.488,2.0599999,1.321,2.4130001,0,5855803546,1614055320,3942211326,64310010,219534102,
OMN,Oman,Developing,20.622,17.240999,6.4089999,39.703999,0,4.8520002,4.5289998,.035,7.941,0,1419146199,965911207,11577546,313476321,123772021,
PAK,Pakistan,Developing,28.861,30.065001,16.726,10.681,0,9.9659996,10.728,1.37,.119,0,5461167748,4994282296,302813533,109519102,12062597,
PAN,Panama,Developing,5.901,8.2519999,9.4449997,5.9749999,0,.493,.43599999,1.205,0,0,579943391,118552710,190432000,98888205,162847969,
PER,Peru,Developing,7.7420001,11.789,7.8109999,5.6820002,0,.131,.36199999,.133,0,0,10012700978,1663423497,5284271778,2910785845,142792947,
PHL,Philippines,Developing,16.596001,18.320999,6.4320002,12.524,0,1.997,2.1889999,.917,.32600001,0,14577396679,12463730177,1468019248,5734186,395262653,
PLW,Palau,Developing,8.2639999,14.818,8.9320002,,.22,.0049999999,.012,0,,0,2325379,959334,539633,0,826412,
PNG,Papua New Guinea,Developing,1.585,14.662,.44499999,0,0,.026000001,.23,.0089999996,0,0,80879358,6526336,72430877,55000,1679458,
PRY,Paraguay,Developing,13.177,16.660999,14.387,.773,0,6.5689998,5.0910001,8.0389996,.0040000002,0,377238939,66648869,265576405,41820129,2639873,
PSE,State of Palestine,Developing,10.487,10.533,9.2600002,50,,.25999999,0,0,10,,7634856,943650,6106482,188487,0,
QAT,Qatar,Developing,5.4970002,1.8609999,0,8.6300001,0,1.257,.45500001,0,1.962,0,1875074562,410384097,13250,1105153996,358374441,
RWA,Rwanda,Least developed,2.8599999,16.219999,1.936,0,0,.12,1.439,0,0,0,31141916,2584803,24047362,3668695,633141,
SAU,Saudi Arabia,Developing,1.67,7.3439999,10.288,.66600001,0,.43599999,.801,.866,.38,0,13314779900,1939826998,59963056,11052490016,253850908,
SDN,Sudan,Least developed,10,10,10,,,0,0,0,,,13214667,2704,13195171,0,0,
